"idnum","father_fin_security_w234","mother_fin_security_w2345"
"0649","No","Yes"
"0650","Yes","Yes"
"0651","Yes","Yes"
"0652","No","No"
"0653","Yes","Yes"
"0654","Yes","Yes"
"0655","Yes","Yes"
"0656",NA,"Yes"
"0657","Yes","No"
"0658","Yes","No"
"0659","Yes","No"
"0660","No","Yes"
"0661","No","No"
"0662",NA,"Yes"
"0663","No","Yes"
"0664","Yes","Yes"
"0665","Yes","No"
"0666","No","No"
"0667","Yes","Yes"
"0668","Yes","Yes"
"0669","No","Yes"
"0670","Yes","Yes"
"0671","Yes","Yes"
"0672","No","Yes"
"0673","Yes","Yes"
"0674","Yes","Yes"
"0675","No","No"
"0676","No","No"
"0677",NA,"No"
"0678","No","Yes"
"0679","Yes","Yes"
"0680","Yes","Yes"
"0681","No","No"
"0682",NA,"No"
"0683","No","No"
"0684","No","Yes"
"0685","Yes","Yes"
"0686",NA,"Yes"
"0687","Yes","No"
"0688","Yes","No"
"0689",NA,"Yes"
"0690",NA,"Yes"
"0691","Yes","Yes"
"0692","Yes","Yes"
"0693",NA,"Yes"
"0694","Yes","Yes"
"0695","No",NA
"0696","Yes","No"
"0697","Yes","Yes"
"0698","No","Yes"
"0699","Yes","Yes"
"0700","Yes","No"
"0701","No","Yes"
"0702","No","Yes"
"0703","Yes","No"
"0704","Yes","Yes"
"0705","No","Yes"
"0706","No","No"
"0707","No","Yes"
"0708","Yes","Yes"
"0709","Yes","Yes"
"0710","Yes","Yes"
"0711","No","Yes"
"0712","Yes","Yes"
"0713",NA,"No"
"0714","Yes","Yes"
"0715","No","Yes"
"0716","Yes","Yes"
"0717","Yes","Yes"
"0718",NA,"Yes"
"0719","Yes","Yes"
"0720","No","Yes"
"0721","Yes","Yes"
"0722","No","No"
"0723",NA,"Yes"
"0724",NA,"No"
"0725","Yes","Yes"
"0726","Yes","No"
"0727","Yes","Yes"
"0728","No","Yes"
"0729","No","No"
"0730","Yes","No"
"0731",NA,"Yes"
"0732","No","Yes"
"0733","Yes","Yes"
"0734",NA,NA
"0735","No","No"
"0736","Yes","Yes"
"0737","No","No"
"0738","Yes","Yes"
"0739","Yes","Yes"
"0740","Yes","Yes"
