"idnum","fparents_edustatus_w2345","mparents_edustatus_w2345"
"0475",NA,"Neither parent attended college"
"0476","Neither parent attended college","Neither parent attended college"
"0477","At least one parent attended college","Neither parent attended college"
"0478","At least one parent attended college","At least one parent attended college"
"0479","Neither parent attended college","Neither parent attended college"
"0480","At least one parent attended college","Neither parent attended college"
"0481","Neither parent attended college","At least one parent attended college"
"0482","Neither parent attended college","At least one parent attended college"
"0483",NA,"At least one parent attended college"
"0484",NA,"At least one parent attended college"
"0485",NA,NA
"0486","Neither parent attended college","At least one parent attended college"
"0487","At least one parent attended college","At least one parent attended college"
"0488",NA,"Neither parent attended college"
"0489","Neither parent attended college","Neither parent attended college"
"0490","Neither parent attended college","At least one parent attended college"
"0491",NA,"Neither parent attended college"
"0492","At least one parent attended college","At least one parent attended college"
"0493","Neither parent attended college","Neither parent attended college"
"0494","Neither parent attended college","At least one parent attended college"
"0495","Neither parent attended college",NA
"0496","Neither parent attended college","Neither parent attended college"
"0497","Neither parent attended college","Neither parent attended college"
"0498","At least one parent attended college","At least one parent attended college"
"0499",NA,"Neither parent attended college"
"0500","At least one parent attended college","At least one parent attended college"
"0501","At least one parent attended college","Neither parent attended college"
"0502","Neither parent attended college","Neither parent attended college"
"0503","Neither parent attended college","Neither parent attended college"
"0504","At least one parent attended college","At least one parent attended college"
"0505",NA,NA
"0506","Neither parent attended college","Neither parent attended college"
"0507","Neither parent attended college","At least one parent attended college"
"0508",NA,"Neither parent attended college"
"0509","Neither parent attended college","Neither parent attended college"
"0510","Neither parent attended college","Neither parent attended college"
"0511","At least one parent attended college","Neither parent attended college"
"0512","At least one parent attended college","Neither parent attended college"
"0513",NA,"Neither parent attended college"
"0514","At least one parent attended college","At least one parent attended college"
"0515","Neither parent attended college","Neither parent attended college"
"0516","Neither parent attended college","Neither parent attended college"
"0517","At least one parent attended college","Neither parent attended college"
"0518",NA,NA
"0519","At least one parent attended college","Neither parent attended college"
"0520","At least one parent attended college","Neither parent attended college"
"0521","Neither parent attended college","At least one parent attended college"
"0522","At least one parent attended college","At least one parent attended college"
"0523",NA,"Neither parent attended college"
"0524","At least one parent attended college","Neither parent attended college"
"0525",NA,NA
"0526",NA,"At least one parent attended college"
"0527","Neither parent attended college","Neither parent attended college"
"0528","Neither parent attended college","Neither parent attended college"
"0529","Neither parent attended college","Neither parent attended college"
"0530","At least one parent attended college","Neither parent attended college"
"0531","Neither parent attended college","Neither parent attended college"
"0532","Neither parent attended college","Neither parent attended college"
"0533","Neither parent attended college","At least one parent attended college"
"0534",NA,NA
"0535","At least one parent attended college","At least one parent attended college"
"0536","Neither parent attended college","Neither parent attended college"
"0537",NA,NA
"0538","Neither parent attended college","At least one parent attended college"
"0539","At least one parent attended college","Neither parent attended college"
"0540",NA,"At least one parent attended college"
"0541","Neither parent attended college","Neither parent attended college"
"0542",NA,"Neither parent attended college"
"0543",NA,"At least one parent attended college"
"0544","At least one parent attended college","At least one parent attended college"
"0545","Neither parent attended college","Neither parent attended college"
"0546",NA,"Neither parent attended college"
"0547","Neither parent attended college","At least one parent attended college"
"0548","Neither parent attended college","At least one parent attended college"
"0549","At least one parent attended college","Neither parent attended college"
"0550","At least one parent attended college","Neither parent attended college"
"0551",NA,NA
"0552","Neither parent attended college","Neither parent attended college"
"0553","Neither parent attended college","Neither parent attended college"
"0554",NA,"At least one parent attended college"
"0555","Neither parent attended college","Neither parent attended college"
"0556","At least one parent attended college","At least one parent attended college"
"0557","Neither parent attended college",NA
